Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Status
pass-i-valley-under-moving-cloud,Pass I — Valley Under Moving Cloud,"<p>Three lit passes along a stretch of open ground, a sky that refused to hold still. The pixel-green trail on the left is a persistence-of-vision LED array's outbound arc — one column of image data rendered per frame as the rig moved. The orange fire-tipped loop on the right is the return, made with traditional fire poi. Between them, a valley that carried the weight of one long gesture before the clouds took it back.</p>",Holo-Flow Studio,Photograph,"photo-print, edition-25, method-traditional, method-led-pov, pass, landscape",TRUE,Paper and size,A3 · Hahnemühle Photo Rag 308,HF-01-A3-PR,,,continue,manual,180.00,TRUE,TRUE,,active
pass-i-valley-under-moving-cloud,,,,,,,Paper and size,A2 · Hahnemühle Photo Rag 308,HF-01-A2-PR,,,continue,manual,320.00,TRUE,TRUE,,
pass-i-valley-under-moving-cloud,,,,,,,Paper and size,A2 · Canson Baryta Prestige II 340,HF-01-A2-BA,,,continue,manual,360.00,TRUE,TRUE,,
corona-i-twenty-revolutions,Corona I — Twenty Revolutions In Registration,"<p>Twenty revolutions of a magenta persistence-of-vision LED array, each column of image data programmed ahead and written into physical space by the rig's rotation. Held against the same horizon across the whole exposure. What the camera captured in one frame is twenty iterations of the same pattern, physically present as light for the duration of the shutter. No compositing. The ring is what it looks like to stand inside the studio's rig when it is running hot and true.</p>",Holo-Flow Studio,Photograph,"photo-print, edition-30, method-led-pov, corona, ring",TRUE,Paper and size,A3 · Hahnemühle Photo Rag 308,HF-02-A3-PR,,,continue,manual,160.00,TRUE,TRUE,,active
corona-i-twenty-revolutions,,,,,,,Paper and size,A2 · Hahnemühle Photo Rag 308,HF-02-A2-PR,,,continue,manual,300.00,TRUE,TRUE,,
corona-i-twenty-revolutions,,,,,,,Paper and size,A2 · Canson Baryta Prestige II 340,HF-02-A2-BA,,,continue,manual,340.00,TRUE,TRUE,,
corona-ii-fourteen-petals,Corona II — Fourteen Petals Dusk,"<p>A looser variant of the Corona protocol. Fourteen passes of the same persistence-of-vision LED array, the rig held less rigidly — lamps drifting a degree off-plane each revolution. What's lost in symmetry is given back in flame. The magenta field behind the ring is long-exposure bleed from the rig's idle frames, not compositing.</p>",Holo-Flow Studio,Photograph,"photo-print, edition-30, method-led-pov, corona, ring",TRUE,Paper and size,A3 · Hahnemühle Photo Rag 308,HF-03-A3-PR,,,continue,manual,160.00,TRUE,TRUE,,active
corona-ii-fourteen-petals,,,,,,,Paper and size,A2 · Hahnemühle Photo Rag 308,HF-03-A2-PR,,,continue,manual,300.00,TRUE,TRUE,,
corona-ii-fourteen-petals,,,,,,,Paper and size,A2 · Canson Baryta Prestige II 340,HF-03-A2-BA,,,continue,manual,340.00,TRUE,TRUE,,
field-record-iv-grid-convergence,Field Record IV — Grid Convergence City Edge,"<p>Two light-painting techniques overlaid in a single exposure. The teal lattice on the ground is a persistence-of-vision LED array carried low, parallel to the turf, rendering a pre-programmed grid pattern column by column as the rig moved. The pink halos overhead are traditional hand-held LED wand passes. Both techniques live in the same photograph because both happened in the same seventeen-second exposure. The towers on the far horizon place you on the Manchester perimeter at around 23:00.</p>",Holo-Flow Studio,Photograph,"photo-print, edition-25, method-led-pov, method-traditional, field-record, urban, manchester",TRUE,Paper and size,A3 · Hahnemühle Photo Rag 308,HF-04-A3-PR,,,continue,manual,180.00,TRUE,TRUE,,active
field-record-iv-grid-convergence,,,,,,,Paper and size,A2 · Hahnemühle Photo Rag 308,HF-04-A2-PR,,,continue,manual,320.00,TRUE,TRUE,,
field-record-iv-grid-convergence,,,,,,,Paper and size,A2 · Canson Baryta Prestige II 340,HF-04-A2-BA,,,continue,manual,360.00,TRUE,TRUE,,
gathering-i-festival-early-hours,Gathering I — Festival Early Hours,"<p>The rings are kata. The small figures standing inside them are not composited — they are image data, programmed frame by frame into a persistence-of-vision LED array, rendered into physical space by the rig's pass during the exposure. For the duration of the shutter, the figures were physically present as light in the same field as the camera. When the shutter closed, only the photograph remained. The rings and the figures were captured whole, in one frame, at the edge of a festival dawn.</p>",Holo-Flow Studio,Photograph,"photo-print, edition-15, method-led-pov, festival, gathering",TRUE,Paper and size,A3 · Hahnemühle Photo Rag 308,HF-05-A3-PR,,,continue,manual,220.00,TRUE,TRUE,,active
gathering-i-festival-early-hours,,,,,,,Paper and size,A2 · Hahnemühle Photo Rag 308,HF-05-A2-PR,,,continue,manual,380.00,TRUE,TRUE,,
gathering-i-festival-early-hours,,,,,,,Paper and size,A2 · Canson Baryta Prestige II 340,HF-05-A2-BA,,,continue,manual,420.00,TRUE,TRUE,,
